date,고등어(염장)
2013-09-05,"1,395"
2013-09-06,"1,395"
2013-09-09,"1,389"
2013-09-10,"1,395"
2013-09-11,"1,401"
2013-09-12,"1,444"
2013-09-13,"1,431"
2013-09-16,"1,440"
2013-09-17,"1,440"
2013-09-23,"1,440"
2013-09-24,"1,440"
2013-09-25,"1,440"
2013-09-26,"1,417"
2013-09-27,"1,408"
2013-09-30,"1,393"
2013-10-01,"1,404"
2013-10-02,"1,404"
2013-10-04,"1,404"
2013-10-07,"1,392"
2013-10-08,"1,399"
2013-10-10,"1,396"
2013-10-11,"1,397"
2013-10-14,"1,403"
2013-10-15,"1,397"
2013-10-16,"1,408"
2013-10-17,"1,427"
2013-10-18,"1,441"
2013-10-21,"1,460"
2013-10-22,"1,460"
2013-10-23,"1,457"
2013-10-24,"1,489"
2013-10-25,"1,480"
2013-10-28,"1,497"
2013-10-29,"1,498"
2013-10-30,"1,498"
2013-10-31,"1,519"
2013-11-01,"1,519"
2013-11-04,"1,532"
2013-11-05,"1,535"
2013-11-06,"1,535"
2013-11-07,"1,530"
2013-11-08,"1,526"
2013-11-11,"1,539"
2013-11-12,"1,539"
2013-11-13,"1,539"
2013-11-14,"1,548"
2013-11-15,"1,547"
2013-11-18,"1,547"
2013-11-19,"1,541"
2013-11-20,"1,546"
2013-11-21,"1,552"
2013-11-22,"1,552"
2013-11-25,"1,528"
2013-11-26,"1,534"
2013-11-27,"1,534"
2013-11-28,"1,547"
2013-11-29,"1,553"
2013-12-02,"1,553"
2013-12-03,"1,567"
2013-12-04,"1,564"
2013-12-05,"1,564"
2013-12-06,"1,564"
2013-12-09,"1,554"
2013-12-10,"1,566"
2013-12-11,"1,569"
2013-12-12,"1,528"
2013-12-13,"1,522"
2013-12-16,"1,529"
2013-12-17,"1,522"
2013-12-18,"1,528"
2013-12-19,"1,490"
2013-12-20,"1,482"
2013-12-23,"1,504"
2013-12-24,"1,502"
2013-12-26,"1,544"
2013-12-27,"1,550"
2013-12-30,"1,546"
2013-12-31,"1,546"
2014-01-02,"1,541"
2014-01-03,"1,541"
2014-01-06,"1,541"
2014-01-07,"1,550"
2014-01-08,"1,524"
2014-01-09,"1,474"
2014-01-10,"1,474"
2014-01-13,"1,484"
2014-01-14,"1,485"
2014-01-15,"1,485"
2014-01-16,"1,550"
2014-01-17,"1,550"
2014-01-20,"1,559"
2014-01-21,"1,559"
2014-01-22,"1,559"
2014-01-23,"1,636"
2014-01-24,"1,636"
2014-01-27,"1,590"
2014-01-28,"1,594"
2014-01-29,"1,594"
2014-02-03,"1,568"
2014-02-04,"1,560"
2014-02-05,"1,559"
2014-02-06,"1,575"
2014-02-07,"1,585"
2014-02-10,"1,589"
2014-02-11,"1,585"
2014-02-12,"1,593"
2014-02-13,"1,542"
2014-02-14,"1,554"
2014-02-17,"1,554"
2014-02-18,"1,554"
2014-02-19,"1,571"
2014-02-20,"1,573"
2014-02-21,"1,583"
2014-02-24,"1,559"
2014-02-25,"1,552"
2014-02-26,"1,552"
2014-02-27,"1,553"
2014-02-28,"1,562"
2014-03-03,"1,591"
2014-03-04,"1,599"
2014-03-05,"1,599"
2014-03-06,"1,629"
2014-03-07,"1,618"
2014-03-10,"1,657"
2014-03-11,"1,657"
2014-03-12,"1,630"
2014-03-13,"1,600"
2014-03-14,"1,598"
2014-03-17,"1,519"
2014-03-18,"1,514"
2014-03-19,"1,496"
2014-03-20,"1,504"
2014-03-21,"1,505"
2014-03-24,"1,556"
2014-03-25,"1,566"
2014-03-26,"1,566"
2014-03-27,"1,590"
2014-03-28,"1,583"
2014-03-31,"1,609"
2014-04-01,"1,592"
2014-04-02,"1,599"
2014-04-03,"1,590"
2014-04-04,"1,604"
2014-04-07,"1,597"
2014-04-08,"1,604"
2014-04-09,"1,604"
2014-04-10,"1,592"
2014-04-11,"1,592"
2014-04-14,"1,564"
2014-04-15,"1,564"
2014-04-16,"1,544"
2014-04-17,"1,525"
2014-04-18,"1,522"
2014-04-21,"1,590"
2014-04-22,"1,605"
2014-04-23,"1,600"
2014-04-24,"1,522"
2014-04-25,"1,498"
2014-04-28,"1,497"
2014-04-29,"1,504"
2014-04-30,"1,498"
2014-05-02,"1,578"
2014-05-07,"1,598"
2014-05-08,"1,585"
2014-05-09,"1,585"
2014-05-12,"1,577"
2014-05-13,"1,577"
2014-05-14,"1,577"
2014-05-15,"1,535"
2014-05-16,"1,524"
2014-05-19,"1,548"
2014-05-20,"1,548"
2014-05-21,"1,566"
2014-05-22,"1,608"
2014-05-23,"1,619"
2014-05-26,"1,630"
2014-05-27,"1,630"
2014-05-28,"1,635"
2014-05-29,"1,595"
2014-05-30,"1,589"
2014-06-02,"1,589"
2014-06-03,"1,592"
2014-06-05,"1,586"
2014-06-09,"1,578"
2014-06-10,"1,553"
2014-06-11,"1,577"
2014-06-12,"1,506"
2014-06-13,"1,506"
2014-06-16,"1,526"
2014-06-17,"1,524"
2014-06-18,"1,541"
2014-06-19,"1,562"
2014-06-20,"1,539"
2014-06-23,"1,557"
2014-06-24,"1,562"
2014-06-25,"1,576"
2014-06-26,"1,596"
2014-06-27,"1,608"
2014-06-30,"1,595"
2014-07-01,"1,599"
2014-07-02,"1,608"
2014-07-03,"1,604"
2014-07-04,"1,632"
2014-07-07,"1,632"
2014-07-08,"1,641"
2014-07-09,"1,641"
2014-07-10,"1,626"
2014-07-11,"1,656"
2014-07-14,"1,640"
2014-07-15,"1,621"
2014-07-16,"1,628"
2014-07-17,"1,628"
2014-07-18,"1,610"
2014-07-21,"1,606"
2014-07-22,"1,603"
2014-07-23,"1,613"
2014-07-24,"1,595"
2014-07-25,"1,595"
2014-07-28,"1,595"
2014-07-29,"1,595"
2014-07-30,"1,595"
2014-07-31,"1,678"
2014-08-04,"1,666"
2014-08-05,"1,666"
2014-08-06,"1,684"
2014-08-07,"1,632"
2014-08-08,"1,638"
2014-08-11,"1,631"
2014-08-12,"1,635"
2014-08-13,"1,629"
2014-08-14,"1,661"
2014-08-18,"1,692"
2014-08-19,"1,694"
2014-08-20,"1,734"
2014-08-21,"1,661"
2014-08-22,"1,661"
2014-08-25,"1,656"
2014-08-26,"1,659"
2014-08-27,"1,645"
2014-08-28,"1,766"
2014-08-29,"1,788"
2014-09-01,"1,793"
2014-09-02,"1,758"
2014-09-03,"1,768"
2014-09-04,"1,774"
2014-09-05,"1,785"
2014-09-11,"1,684"
2014-09-12,"1,682"
2014-09-15,"1,687"
2014-09-17,"1,686"
2014-09-18,"1,803"
2014-09-19,"1,820"
2014-09-22,"1,839"
2014-09-23,"1,827"
2014-09-24,"1,829"
2014-09-25,"1,778"
2014-09-26,"1,778"
2014-09-29,"1,749"
2014-09-30,"1,744"
2014-10-01,"1,726"
2014-10-02,"1,776"
2014-10-06,"1,776"
2014-10-07,"1,784"
2014-10-08,"1,824"
2014-10-10,"1,849"
2014-10-13,"1,857"
2014-10-14,"1,844"
2014-10-15,"1,844"
2014-10-16,"1,862"
2014-10-17,"1,884"
